,cve,epss,date
313,CVE-2025-59834,0.00842,2025-11-05
314,CVE-2025-6921,0.00073,2025-11-05
315,CVE-2025-7045,0.00363,2025-11-05
316,CVE-2025-8268,0.0011,2025-11-05
317,CVE-2025-9054,0.0014,2025-11-05
318,CVE-2025-9321,0.00107,2025-11-05
319,CVE-2025-9816,0.00177,2025-11-05
320,CVE-2025-10137,0.00078,2025-11-06
321,CVE-2025-10147,0.00184,2025-11-06
322,CVE-2025-10412,0.00215,2025-11-06
323,CVE-2025-59834,0.00959,2025-11-06
324,CVE-2025-6921,0.00073,2025-11-06
325,CVE-2025-7045,0.00363,2025-11-06
326,CVE-2025-8268,0.0011,2025-11-06
327,CVE-2025-9054,0.0014,2025-11-06
328,CVE-2025-9321,0.00107,2025-11-06
329,CVE-2025-9816,0.00177,2025-11-06
330,CVE-2025-10137,0.00078,2025-11-07
331,CVE-2025-10147,0.00184,2025-11-07
332,CVE-2025-10412,0.00215,2025-11-07
333,CVE-2025-59834,0.00959,2025-11-07
334,CVE-2025-6921,0.00073,2025-11-07
335,CVE-2025-7045,0.00363,2025-11-07
336,CVE-2025-8268,0.0011,2025-11-07
337,CVE-2025-9054,0.0014,2025-11-07
338,CVE-2025-9321,0.00107,2025-11-07
339,CVE-2025-9816,0.00177,2025-11-07
340,CVE-2025-10137,0.00078,2025-11-08
341,CVE-2025-10147,0.00184,2025-11-08
342,CVE-2025-10412,0.00215,2025-11-08
343,CVE-2025-59834,0.00959,2025-11-08
344,CVE-2025-6921,0.00073,2025-11-08
345,CVE-2025-7045,0.00363,2025-11-08
346,CVE-2025-8268,0.0011,2025-11-08
347,CVE-2025-9054,0.0014,2025-11-08
348,CVE-2025-9321,0.00107,2025-11-08
349,CVE-2025-9816,0.00177,2025-11-08
350,CVE-2025-10137,0.00078,2025-11-09
351,CVE-2025-10147,0.00184,2025-11-09
352,CVE-2025-10412,0.00215,2025-11-09
353,CVE-2025-59834,0.00959,2025-11-09
354,CVE-2025-6921,0.00073,2025-11-09
355,CVE-2025-7045,0.00363,2025-11-09
356,CVE-2025-8268,0.0011,2025-11-09
357,CVE-2025-9054,0.0014,2025-11-09
358,CVE-2025-9321,0.00107,2025-11-09
359,CVE-2025-9816,0.00177,2025-11-09
360,CVE-2025-10137,0.00078,2025-11-10
361,CVE-2025-10147,0.00184,2025-11-10
362,CVE-2025-10412,0.00215,2025-11-10
363,CVE-2025-59834,0.00959,2025-11-10
364,CVE-2025-6921,0.00073,2025-11-10
365,CVE-2025-7045,0.00363,2025-11-10
366,CVE-2025-8268,0.00115,2025-11-10
367,CVE-2025-9054,0.0014,2025-11-10
368,CVE-2025-9321,0.00107,2025-11-10
369,CVE-2025-9816,0.00177,2025-11-10
370,CVE-2025-10137,0.00078,2025-11-11
371,CVE-2025-10147,0.00184,2025-11-11
372,CVE-2025-10412,0.00215,2025-11-11
373,CVE-2025-59834,0.00959,2025-11-11
374,CVE-2025-6921,0.00073,2025-11-11
375,CVE-2025-7045,0.00363,2025-11-11
376,CVE-2025-8268,0.00115,2025-11-11
377,CVE-2025-9054,0.0014,2025-11-11
378,CVE-2025-9321,0.00107,2025-11-11
379,CVE-2025-9816,0.00177,2025-11-11
380,CVE-2025-10137,0.00078,2025-11-12
381,CVE-2025-10147,0.00184,2025-11-12
382,CVE-2025-10412,0.00215,2025-11-12
383,CVE-2025-59834,0.00959,2025-11-12
384,CVE-2025-6921,0.00073,2025-11-12
385,CVE-2025-7045,0.00363,2025-11-12
386,CVE-2025-8268,0.00115,2025-11-12
387,CVE-2025-9054,0.0014,2025-11-12
388,CVE-2025-9321,0.00107,2025-11-12
389,CVE-2025-9816,0.00177,2025-11-12
